war_total,next_season_war_total,player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
3.084926696,0.2112041308379873,Terence Davis,daviste02,2020,2763,1293,1.640759,0.268672291,1.909431292,2.715793242,0.369133454,1.444815673,-0.039821313,1.404994359,0.235729358,TOR,23,193.04,91.171992,Mississippi,USA,Undrafted,U,NA,72,7.5,3.3,1.6,7.9,0.039,0.13699999999999998,0.181,0.588,0.14
0.2112041308379873,NA,Terence Davis,daviste02,2021,2287,1074,-0.4924962663010171,-1.875373564616923,-2.36786983091794,0.2112041308379873,0,-0.1373178404310101,-2.029878714621792,-2.167196555052803,0.5700242866487212,SAC,24,193.04,91.171992,Mississippi,USA,Undrafted,U,NA,61,8.7,2.5,1.4,-2.8,0.018,0.125,0.213,0.555,0.122
-1.142913625,-0.360663874,Terence Morris,morrite01,2002,2063,1110,-2.474723943,-2.299600155,-4.774324099,-1.142913625,0,-2.800234793,-3.039312309,-5.839547103,-0.280660589,HOU,23,205.74,100.243832,Maryland,USA,2001,2,33,68,3.8,3.1,0.9,-11,0.076,0.14,0.142,0.423,0.096
-0.360663874,-0.209186568,Terence Morris,morrite01,2003,1183,632,-1.023381094,-2.852551627,-3.87593272,-0.360663874,0,-1.642438006,-3.939787481,-5.582225487,-0.605952413,HOU,24,205.74,100.243832,Maryland,USA,2001,2,33,49,3.7,2.6,0.5,-4.3,0.07400000000000001,0.157,0.154,0.5,0.068
-0.209186568,NA,Terence Morris,morrite01,2006,357,192,-4.904824887,0.019597997,-4.88522689,-0.209186568,0,-5.155794844,-0.920586267,-6.076381112,0.010145222,ORL,27,205.74,100.243832,Maryland,USA,2001,2,33,22,1.6,1.7,0.2,-0.8,0.038,0.212,0.138,0.348,0.034
-0.680012906,-0.420974705,Terrance Ferguson,fergute01,2018,1562,769,-1.941812713,-2.564826025,-4.506638739,-0.74539949,0.065386584,-2.308106983,-1.823237397,-4.13134438,-0.781958372,OKC,20,200.66,83.46092800000001,None,USA,2017,1,21,61,3.1,0.8,0.3,-4.5,0.023,0.038,0.104,0.545,0.035
-0.420974705,-0.937483832,Terrance Ferguson,fergute01,2019,4472,2059,-1.56247255,-1.579597721,-3.142070271,-0.206544107,-0.214430598,-2.362140699,-0.265590865,-2.627731565,-0.208964619,OKC,21,200.66,86.18248,None,USA,2017,1,21,74,6.9,1.9,1,3.9,0.015,0.055,0.104,0.5660000000000001,0.046
-0.937483832,-0.3858762189379092,Terrance Ferguson,fergute01,2020,2673,1299,-3.982346381,-0.189016342,-4.171362723,-0.827228585,-0.110255247,-4.321318348,0.667246323,-3.654072025,-0.69424995,OKC,22,198.12,86.18248,None,USA,2017,1,21,56,3.9,1.3,0.9,-4,0.019,0.039,0.092,0.481,0.055
-0.3858762189379092,NA,Terrance Ferguson,fergute01,2021,106,49,-11.35084189447686,-6.576075775256119,-17.92691766973298,-0.3858762189379092,0,-8.78717281636713,-6.9192280555495556,-15.70640087191668,1.718240036767005,PHI,23,198.12,86.18248,None,USA,2017,1,21,13,0.2,0.1,0.2,-17.8,0,0.024,0.094,0.14300000000000002,0.057
-0.077438885,NA,Terrance Roberson,roberte01,2001,24,13,-10.12045126,-3.917088789,-14.03754005,-0.077438885,0,-10.14433429,-4.959386104,-15.10372039,3.173769633,CHH,24,200.66,97.52228,Fresno State,USA,Undrafted,U,NA,3,0,0.3,0.3,-15.6,0,0.077,0.134,0,0.111
-0.138944165,-0.50480438,Terrel Harris,harrite01,2012,630,328,-1.818086186,-1.759349549,-3.577435735,-0.171015024,0.032070859,-1.813926219,-2.171467066,-3.985393285,0.930093877,MIA,24,193.04,86.18248,Oklahoma State,USA,Undrafted,U,NA,22,3.6,2.3,1.2,-8.3,0.067,0.129,0.17,0.434,0.138
-0.50480438,NA,Terrel Harris,harrite01,2013,256,137,-8.168086846,-1.657052857,-9.825139703,-0.50480438,0,-8.008771805,-2.983955516,-10.99272732,1.407868041,NOH,25,193.04,86.18248,Oklahoma State,USA,Undrafted,U,NA,20,0.8,1.3,0.5,0.9,0.036,0.19,0.173,0.239,0.107
10.70850317,6.209153781,Terrell Brandon,brandte01,1997,5010,2868,2.978216936,1.611245572,4.589462508,10.70850317,0,3.063310746,1.719725515,4.783036262,-0.263337221,CLE,27,180.34,81.64656,Oregon,USA,1991,1,11,78,19.5,3.9,6.3,2.7,0.022,0.119,0.28300000000000003,0.526,0.337
6.209153781,4.358830416,Terrell Brandon,brandte01,1998,3391,1784,2.844001735,1.240176203,4.084177938,6.209153781,0,2.911573276,1.500607745,4.412181021,-0.165853827,MIL,28,180.34,78.471416,Oregon,USA,1991,1,11,50,16.8,3.5,7.7,2.5,0.016,0.106,0.237,0.526,0.363
4.358830416,10.79890534,Terrell Brandon,brandte01,1999,2578,1378,2.786982196,0.678912214,3.46589441,3.677564568,0.681265847,2.804290411,1.113930013,3.918220424,-0.275664195,MIN,29,180.34,78.471416,Oregon,USA,1991,1,11,36,13.9,3.7,8.6,1.3,0.024,0.109,0.229,0.463,0.411
